title,median_salary,posting_count
Licensed Mental Health Therapist,178880.0,10
Licensed Physical Therapist Assistant,66560.0,3
Licensed Practical Nurse,64480.0,20
Licensed Practical Nurse (Lpn),65884.0,16
Licensed Practical Nurse (Ny Helps),55578.0,6
Licensed Practical Nurse - Full-Time All Shifts,69160.0,4
Licensed Practical Nurse - Home Care,12000.0,3
Licensed Psychologist,130100.0,10
Licensed Talk Therapist,112200.0,7
Licensed Veterinary Technician,54080.0,11
Licensed Vocational Nurse (Lvn) - Telemetry,63658.4,3
Licensed Vocational Nurse - Nursing Admin,68307.20000000001,3
Lifecycle Marketing Manager,146382.5,4
Lifeguard,33280.0,3
Line Attendant,35880.0,3
Line Cook,39520.0,7
Linux System Administrator,137490.0,4
Litigation Associate,146250.0,16
Litigation Attorney,150000.0,10
Litigation Legal Assistant,77500.0,3
Litigation Paralegal,70000.0,17
Litigation Specialist,62000.0,3
Loan Specialist,41000.0,3
Logistics Coordinator,52500.0,7
Logistics Manager,218400.0,3
Logistics Specialist,55000.0,4
Lpn,67600.0,3
Lpn - Home Health,68816.8,5
Lpn - Nurse Residency Program,58760.0,4
Lpn Licensed Practical Nurse,72800.0,15
Lpn Licensed Practical Nurse $3000 Sign On,64480.0,4
"Lpn, Home Health Full Time",53825.0,6
